group_,gen_sp,common,YearEndCDa,status,Latitude,Longitude,county_ori,WaterBody,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.618699,-89.069379,Williamson,Devils Kitchen Lake,,,,,,,,,,,,
Fishes,Morone x Morone chrysops x saxatilis,Wiper,1997,,37.618787,-88.94248,Williamson,Lake of Egypt,,,,,,,,,,,,
Plants,Acorus calamus,"Calamus, Sweet Flag",1985,,37.61964684,-89.08738041,Williamson,,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.6213,-89.30138,Jackson,Cedar Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2010,,37.62133135,-89.30139804,Jackson,Cedar Lake,,,,,,,,,,,,
Plants,Phragmites australis australis,Common Reed ssp. Australis,2010,,37.62133135,-89.30139804,Jackson,Cedar Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.62217,-88.93607,Williamson,Lake of Egypt,,,,,,,,,,,,
Fishes,Menidia beryllina,Inland Silverside,1978,,37.62452829,-89.50361308,Jackson,Mississippi River,,,,,,,,,,,,
Fishes,Osmerus mordax,Rainbow Smelt,1982,,37.62452829,-89.50361308,Jackson,Mississippi River,,,,,,,,,,,,
Fishes,Hypophthalmichthys molitrix,Silver Carp,1983,,37.62452829,-89.50361308,Jackson,Mississippi River,,,,,,,,,,,,
Plants,Egeria densa,Brazilian Waterweed,2008,,37.625058,-89.08704042,Williamson,,,,,,,,,,,,,
Fishes,Piaractus brachypomus,"Pirapatinga, Red-Bellied Pacu",1992,failed,37.625109,-89.145041,Williamson,Little Grassy Lake,,,,,,,,,,,,
Plants,Najas minor,Brittle Waternymph,2008,,37.625292,-89.08868,Williamson,Devil's Kitchen Lake,,,,,,,,,,,,
Fishes,Hypophthalmichthys nobilis,Bighead Carp,1992,,37.625313,-89.428217,Jackson,Big Muddy Rive,,,,,,,,,,,,
